Inspection ID,Violation ID1,Violation ID2,Violation ID3,Violation ID4,Violation ID5,Violation ID6,Violation ID7,Violation ID8,Violation ID9,Violation ID10,Violation ID11,Violation ID11,Violation ID12,Violation ID13,Violation ID14,Violation ID15,Violation ID16,Violation ID17,Violation ID18
1966943,36,36,38,,,,,,,,,,,,,,,,
1960815,,,,,,,,,,,,,,,,,,,
1955303,,,,,,,,,,,,,,,,,,,
1966927,16,16,29,32,34,35,36,38,43,18,,,,,,,,,
1966923,32,32,37,,,,,,,,,,,,,,,,
1966903,,,,,,,,,,,,,,,,,,,
1966921,29,29,,,,,,,,,,,,,,,,,
1966917,38,38,32,,,,,,,,,,,,,,,,
1966916,34,34,35,,,,,,,,,,,,,,,,
1966908,30,30,42,43,,,,,,,,,,,,,,,
1966901,,,,,,,,,,,,,,,,,,,
1966757,,,,,,,,,,,,,,,,,,,
1966896,,,,,,,,,,,,,,,,,,,
1966900,,,,,,,,,,,,,,,,,,,
1966898,12,12,16,33,38,38,,,,,,,,,,,,,
1966892,34,34,,,,,,,,,,,,,,,,,
1966884,,,,,,,,,,,,,,,,,,,
1966885,29,29,31,32,33,34,45,38,35,,,,,,,,,,
1966882,,,,,,,,,,,,,,,,,,,
1966881,,,,,,,,,,,,,,,,,,,
1966887,38,38,,,,,,,,,,,,,,,,,
1966877,,,,,,,,,,,,,,,,,,,
1966871,37,37,38,35,34,41,,,,,,,,,,,,,
1955301,,,,,,,,,,,,,,,,,,,
1966861,34,34,33,,,,,,,,,,,,,,,,
1966867,38,38,42,16,,,,,,,,,,,,,,,
1966860,29,29,32,,,,,,,,,,,,,,,,
1966857,19,19,29,30,32,35,36,,,,,,,,,,,,
1966856,12,12,34,32,43,33,39,,,,,,,,,,,,
1960297,,,,,,,,,,,,,,,,,,,
1966850,34,34,33,35,41,,,,,,,,,,,,,,
1966842,24,24,32,,,,,,,,,,,,,,,,
1966833,21,21,33,34,35,38,,,,,,,,,,,,,
1966837,3,3,29,34,35,33,,,,,,,,,,,,,
1966820,,,,,,,,,,,,,,,,,,,
1966815,,,,,,,,,,,,,,,,,,,
1966811,,,,,,,,,,,,,,,,,,,
1966662,34,34,43,,,,,,,,,,,,,,,,
1966803,16,16,2,38,,,,,,,,,,,,,,,
1966802,33,33,,,,,,,,,,,,,,,,,
1966798,30,30,42,43,,,,,,,,,,,,,,,
1966801,3,3,6,29,33,35,40,32,,,,,,,,,,,
1955298,,,,,,,,,,,,,,,,,,,
1966760,35,35,38,,,,,,,,,,,,,,,,
1966797,33,33,35,,,,,,,,,,,,,,,,
1966795,12,12,35,34,33,,,,,,,,,,,,,,
1966897,,,,,,,,,,,,,,,,,,,
1966794,33,33,,,,,,,,,,,,,,,,,
1966789,35,35,,,,,,,,,,,,,,,,,
1966783,32,32,34,38,33,,,,,,,,,,,,,,
1966776,42,42,,,,,,,,,,,,,,,,,
1966767,,,,,,,,,,,,,,,,,,,
1966762,,,,,,,,,,,,,,,,,,,
1966753,12,12,,,,,,,,,,,,,,,,,
1966746,30,30,32,34,,,,,,,,,,,,,,,
1966744,33,33,34,40,41,14,16,,,,,,,,,,,,
1966739,,,,,,,,,,,,,,,,,,,
1966736,3,3,38,43,35,36,32,34,35,18,29,,,,,,,,
1966673,,,,,,,,,,,,,,,,,,,
1966664,,,,,,,,,,,,,,,,,,,
1955297,10,10,33,34,35,40,41,38,,,,,,,,,,,
1966725,34,34,35,38,32,8,,,,,,,,,,,,,
1966730,33,33,32,34,22,,,,,,,,,,,,,,
1966585,,,,,,,,,,,,,,,,,,,
1966577,,,,,,,,,,,,,,,,,,,
1966723,9,9,18,19,11,41,34,,,,,,,,,,,,
1966722,21,21,34,38,,,,,,,,,,,,,,,
1966721,,,,,,,,,,,,,,,,,,,
1966720,,,,,,,,,,,,,,,,,,,
1966717,33,33,32,,,,,,,,,,,,,,,,
1966711,,,,,,,,,,,,,,,,,,,
1966708,,,,,,,,,,,,,,,,,,,
1966707,9,9,11,32,35,36,,,,,,,,,,,,,
1966703,33,33,41,,,,,,,,,,,,,,,,
1966700,34,34,,,,,,,,,,,,,,,,,
1966697,,,,,,,,,,,,,,,,,,,
1966699,30,30,32,33,34,38,41,43,,,,,,,,,,,
1966696,3,3,6,8,33,34,43,36,38,29,,,,,,,,,
1966691,,,,,,,,,,,,,,,,,,,
1966693,,,,,,,,,,,,,,,,,,,
1966688,,,,,,,,,,,,,,,,,,,
1966689,,,,,,,,,,,,,,,,,,,
1966684,,,,,,,,,,,,,,,,,,,
1966682,,,,,,,,,,,,,,,,,,,
1966681,,,,,,,,,,,,,,,,,,,
1966683,,,,,,,,,,,,,,,,,,,
1966679,33,33,38,43,,,,,,,,,,,,,,,
1966678,,,,,,,,,,,,,,,,,,,
1966676,30,30,31,32,34,35,38,,,,,,,,,,,,
1966675,,,,,,,,,,,,,,,,,,,
1966665,35,35,,,,,,,,,,,,,,,,,
1966674,,,,,,,,,,,,,,,,,,,
1966657,33,33,,,,,,,,,,,,,,,,,
1966656,32,32,36,,,,,,,,,,,,,,,,
1966655,40,40,35,,,,,,,,,,,,,,,,
1966647,,,,,,,,,,,,,,,,,,,
1966652,,,,,,,,,,,,,,,,,,,
1966648,,,,,,,,,,,,,,,,,,,
1966645,,,,,,,,,,,,,,,,,,,
1966640,32,32,,,,,,,,,,,,,,,,,
1966637,,,,,,,,,,,,,,,,,,,
1966806,,,,,,,,,,,,,,,,,,,
1966630,3,3,16,33,34,41,32,,,,,,,,,,,,
1966631,35,35,38,,,,,,,,,,,,,,,,
1955293,,,,,,,,,,,,,,,,,,,
1966628,,,,,,,,,,,,,,,,,,,
1966627,,,,,,,,,,,,,,,,,,,
1966622,,,,,,,,,,,,,,,,,,,
1966617,,,,,,,,,,,,,,,,,,,
1966618,,,,,,,,,,,,,,,,,,,
1966615,,,,,,,,,,,,,,,,,,,
1966614,35,35,,,,,,,,,,,,,,,,,
1966612,,,,,,,,,,,,,,,,,,,
1960295,,,,,,,,,,,,,,,,,,,
1948592,3,3,16,18,22,32,,,,,,,,,,,,,
1966607,18,18,33,34,21,,,,,,,,,,,,,,
1966605,,,,,,,,,,,,,,,,,,,
1966608,,,,,,,,,,,,,,,,,,,
1955292,31,31,41,,,,,,,,,,,,,,,,
1966600,12,12,1,43,,,,,,,,,,,,,,,
1966580,35,35,38,,,,,,,,,,,,,,,,
1960286,,,,,,,,,,,,,,,,,,,
1966591,38,38,,,,,,,,,,,,,,,,,
1955291,,,,,,,,,,,,,,,,,,,
1955290,,,,,,,,,,,,,,,,,,,
1966587,38,38,,,,,,,,,,,,,,,,,
1966584,,,,,,,,,,,,,,,,,,,
1966579,34,34,35,,,,,,,,,,,,,,,,
1966575,35,35,38,,,,,,,,,,,,,,,,
1966574,38,38,35,,,,,,,,,,,,,,,,
1966572,35,35,,,,,,,,,,,,,,,,,
1966568,,,,,,,,,,,,,,,,,,,
1966566,,,,,,,,,,,,,,,,,,,
1955289,32,32,,,,,,,,,,,,,,,,,
1647215,,,,,,,,,,,,,,,,,,,
1966550,32,32,34,33,,,,,,,,,,,,,,,
1966562,,,,,,,,,,,,,,,,,,,
1966561,11,11,18,22,32,38,,,,,,,,,,,,,
1973212,,,,,,,,,,,,,,,,,,,
1672214,18,18,32,34,,,,,,,,,,,,,,,
1966552,,,,,,,,,,,,,,,,,,,
1955286,,,,,,,,,,,,,,,,,,,
1966546,,,,,,,,,,,,,,,,,,,
1966542,,,,,,,,,,,,,,,,,,,
1966544,30,30,32,33,34,35,41,45,,,,,,,,,,,
1966540,32,32,21,,,,,,,,,,,,,,,,
1966537,31,31,29,34,33,,,,,,,,,,,,,,
1966536,29,29,32,,,,,,,,,,,,,,,,
1966538,45,45,,,,,,,,,,,,,,,,,
1966545,35,35,34,41,,,,,,,,,,,,,,,
1966534,,,,,,,,,,,,,,,,,,,
1966530,40,40,22,,,,,,,,,,,,,,,,
1951277,34,34,35,,,,,,,,,,,,,,,,
1966529,18,18,29,40,41,45,,,,,,,,,,,,,
1966528,,,,,,,,,,,,,,,,,,,
1960255,,,,,,,,,,,,,,,,,,,
1966521,34,34,,,,,,,,,,,,,,,,,
1966519,32,32,33,34,35,39,29,,,,,,,,,,,,
1966516,21,21,36,45,,,,,,,,,,,,,,,
1966508,,,,,,,,,,,,,,,,,,,
1966509,38,38,37,22,18,,,,,,,,,,,,,,
1966514,29,29,30,33,34,41,43,35,36,33,,,,,,,,,
1966510,43,43,36,32,45,,,,,,,,,,,,,,
1966512,,,,,,,,,,,,,,,,,,,
1966504,43,43,38,,,,,,,,,,,,,,,,
1966502,,,,,,,,,,,,,,,,,,,
1966503,18,18,19,35,,,,,,,,,,,,,,,
1966498,,,,,,,,,,,,,,,,,,,
1966494,38,38,43,,,,,,,,,,,,,,,,
1966492,,,,,,,,,,,,,,,,,,,
1966493,,,,,,,,,,,,,,,,,,,
1966437,33,33,,,,,,,,,,,,,,,,,
1966490,18,18,34,38,,,,,,,,,,,,,,,
1966489,24,24,32,33,34,40,41,16,,,,,,,,,,,
1966485,33,33,,,,,,,,,,,,,,,,,
1966475,33,33,34,,,,,,,,,,,,,,,,
1966479,38,38,2,,,,,,,,,,,,,,,,
1966480,38,38,2,,,,,,,,,,,,,,,,
1966471,,,,,,,,,,,,,,,,,,,
1951272,,,,,,,,,,,,,,,,,,,
1966473,11,11,12,29,33,35,30,,,,,,,,,,,,
1966461,34,34,29,,,,,,,,,,,,,,,,
1966469,36,36,,,,,,,,,,,,,,,,,
1966347,,,,,,,,,,,,,,,,,,,
1966455,29,29,,,,,,,,,,,,,,,,,
1966449,,,,,,,,,,,,,,,,,,,
1966444,22,22,29,31,34,,,,,,,,,,,,,,
1966442,,,,,,,,,,,,,,,,,,,
1966436,38,38,,,,,,,,,,,,,,,,,
1966435,38,38,,,,,,,,,,,,,,,,,
1966430,,,,,,,,,,,,,,,,,,,
1966429,27,27,32,32,35,43,,,,,,,,,,,,,
1966420,,,,,,,,,,,,,,,,,,,
1966434,11,11,34,35,43,,,,,,,,,,,,,,
1966425,38,38,,,,,,,,,,,,,,,,,
1966421,,,,,,,,,,,,,,,,,,,
1966418,,,,,,,,,,,,,,,,,,,
1966422,,,,,,,,,,,,,,,,,,,
1966409,34,34,,,,,,,,,,,,,,,,,
1966405,34,34,32,43,,,,,,,,,,,,,,,
1966402,,,,,,,,,,,,,,,,,,,
1966398,35,35,45,,,,,,,,,,,,,,,,
1966396,30,30,,,,,,,,,,,,,,,,,
1966390,34,34,22,35,38,,,,,,,,,,,,,,
1966389,,,,,,,,,,,,,,,,,,,
1966387,31,31,34,36,,,,,,,,,,,,,,,
1966384,,,,,,,,,,,,,,,,,,,
1966386,,,,,,,,,,,,,,,,,,,
1966381,,,,,,,,,,,,,,,,,,,
1960256,,,,,,,,,,,,,,,,,,,
1955284,32,32,,,,,,,,,,,,,,,,,
1966378,,,,,,,,,,,,,,,,,,,
1966377,,,,,,,,,,,,,,,,,,,
1966376,,,,,,,,,,,,,,,,,,,
1966375,,,,,,,,,,,,,,,,,,,
1966370,45,45,,,,,,,,,,,,,,,,,
1951273,,,,,,,,,,,,,,,,,,,
1966367,,,,,,,,,,,,,,,,,,,
1966366,,,,,,,,,,,,,,,,,,,
1966361,,,,,,,,,,,,,,,,,,,
1966365,,,,,,,,,,,,,,,,,,,
1966362,,,,,,,,,,,,,,,,,,,
